Region,District,District No.,School Name,School No.,NCES School No.,Principal,School Type,Grade Level,Categories,County,Status,address,Address 1 City,Address 1 State,Address 1 Zipcode,Address 2 Composite,Phone 1,Phone 2,Fax 1,Email Address
Mid Cumberland,Rutherford County,00750,Smyrna Primary,0100,4.70369E+11,Dr. Amy Perry,Public,"PK, K, 1, 2, 3, 4, 5",,Rutherford,Active,"200 Walnut Street
 Smyrna, TN 37167",Smyrna,TN,37167,,615-459-3161,,615-355-5609,perrya@rcschools.net
Southeast Tennessee,Hamilton County,00330,Soddy Elementary School,0230,4.70159E+11,Rachel Teas,Public,"PK, K, 1, 2, 3, 4, 5",,Hamilton,Active,"260  School  Street
 Soddy Daisy, TN 37379",Soddy Daisy,TN,37379,,423-332-8823,,423-332-8843,teas_rachel@hcde.org
Mid Cumberland,Franklin Special Private Schools,09941,Sol Spanish Immersion Schools,9885,,Raquel Bertaina,Private,"PK, K",Category V - Acknowledged by TDOE for operation,Williamson,Active,"621 Bradley Court
 Franklin, TN 37067",Franklin,TN,37067,,615-942-7176,,,heifranklin@outlook.com
Southwest,Decatur County Private Schools,09200,Souls Harbor Lighthouse Christian Academy,9070,,Sarah Stone,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Decatur,Active,"713 Peace Chapel Road
 Scotts Hill, TN 38374",Scotts Hill,TN,38374,"P O Box 127 Road
 Scotts Hill, TN 38374",731-549-3090,,731-549-2815,shlca@juno.com
First Tennessee,Washington County,00900,South Central Elementary,0090,4.70438E+11,J.W. McKinney,Public,"K, 1, 2, 3, 4, 5, 6, 7, 8",Category I - Approved by TDOE,Washington,Active,"2955  Highway  107
 Chuckey, TN 37641",Chuckey,TN,37641,,423-753-1135,,423-753-1135,mckinneyj@wcde.org
East Tennessee,Clinton,00011,South Clinton Elementary,0015,4.70072E+11,Leighann Bonesteel,Public,"K, 1, 2, 3, 4, 5, 6",,Anderson,Active,"242  Hiway  Drive
 Clinton, TN 37716",Clinton,TN,37716,,865-457-2684,,865-457-1089,bonesteell@clintonschools.org
Upper Cumberland,Cumberland County,00180,South Cumberland Elementary,0073,4.7009E+11,Dawn Hall,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Cumberland,Active,"3536 Lantana Road
 Crossville, TN 38572",Crossville,TN,38572,"3536 Lantana Road
 Crossville, TN 38572",931-788-6713,,931-788-1116,halld5@ccschools.k12tn.net
Upper Cumberland,Fentress County,00250,South Fentress Elementary School,0033,4.70123E+11,Christy Walker,Public,"P3, P4, K, 1, 2, 3, 4, 5, 6, 7, 8",,Fentress,Active,"5018 Wilder Road
 Grimsley, TN 38565",Grimsley,TN,38565,,931-863-3131,,931-863-3980,christy.walker@fentressboe.com
Northwest Tennessee,Obion County,00660,South Fulton Elementary,0045,4.70327E+11,Sandi Bigham,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Obion,Active,"209 John C. Jones Parkway
 South Fulton, TN 38257",South Fulton,TN,38257,"209 John C. Jones Parkway
 South Fulton, TN 38257",731-479-2304,,731-479-1447,sbigham@ocboe.com
Northwest Tennessee,Gibson Co Sp Dist,00275,South Gibson County Elementary School,0040,4.7014E+11,Margaret DeLoach,Public,"PK, K, 1, 2, 3, 4",,Gibson,Active,"100 Mt Zion Road
 Medina, TN 38355",Medina,TN,38355,"Box 99 Street
 Medina, TN 38355",731-783-3660,,731-783-3778,deloachm@gcssd.org
Mid Cumberland,Robertson County Private Schools,09740,South Haven Christian School,9080,,Dr. Steve Blaser,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency, Category IV - Church Related Schools, Category II - Approved by private school accrediting agency",Robertson,Active,"112 Academy Drive
 Springfield, TN 37172",Springfield,TN,37172,,615-384-5073,,615-425-2403,sblaser@shbcsministries.org
East Tennessee,Knox County,00470,South Knox Elementary,0265,4.70222E+11,Tanna Nicely,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Knox,Active,"801  Sevier  Avenue
 Knoxville, TN 37920",Knoxville,TN,37920,,865-579-2100,,865-579-2199,tanna.nicely@knoxschools.org
South Central,Lawrence County,00500,South Lawrence Elementary,0060,4.70234E+11,Shannon Snider,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category I - Approved by TDOE,Lawrence,Active,"707 2nd Avenue South
 Loretto, TN 38469",Loretto,TN,38469,,931-201-5884,,931-853-4945,sles_principal@lcss.us
Southwest,Memphis-Shelby County Schools,00792,South Park Elementary,2695,4.70015E+11,Felicia Strickland,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"1720 Getwell Road
 Memphis, TN 38111-7019",Memphis,TN,38111-7019,,901-416-5024,,901-416-5025,Stricklandfn@scsk12.org
Southeast Tennessee,Marion County,00580,South Pittsburg Elementary,0050,4.70264E+11,Candace Powers,Public,"PK, K, 1, 2, 3, 4, 5, 6",Category I - Approved by TDOE,Marion,Active,"310  Elm  Avenue
 South Pittsburg, TN 37380",South Pittsburg,TN,37380,,423-837-6117,,423-837-6168,cpowers@mctns.net
South Central,Bedford County,00020,South Side Elementary,0075,4.70018E+11,Mrs. Rebecca Miller,Public,"PK, K, 1, 2, 3, 4, 5",,Bedford,Active,"903  Cannon  Boulevard
 Shelbyville, TN 37160",Shelbyville,TN,37160,,931-684-7545,,,millerb@bedfordk12tn.net
First Tennessee,Johnson City,00901,South Side Elementary,0055,4.70213E+11,Kelley Jones,Public,"PK, K, 1, 2, 3, 4, 5",,Washington,Active,"1011 Southwest Avenue
 Johnson City, TN 37604",Johnson City,TN,37604,,423-434-5290,,423-434-5291,jonesk1@jcschools.org
Southwest,Memphis-Shelby County Schools,00792,Southern Avenue Charter School Of Academic Excellence Creative Arts,8228,4.70015E+11,Teena Smith,Public Charter,"K, 1, 2, 3, 4, 5",,Shelby,Active,"2221 Democrat Road
 Memphis, TN 38132",Memphis,TN,38132,,901-743-7335,,,tsmith@sacsmemphis.org
Mid Cumberland,Wilson County,00950,Southside Elementary,0050,4.70455E+11,Chareda Sims,Public,"P3, P4, K, 1, 2, 3, 4, 5, 6, 7, 8",,Wilson,Active,"1224  Murfreesboro  Road
 Lebanon, TN 37087",Lebanon,TN,37087,,615-444-6330,,615-443-6400,SIMSCHA100@wcschools.com
Mid Cumberland,Dickson County,00220,Special Services,7001,4.70102E+11,Dr. Malissa Johnson,Pre-Kindergarten Program,"P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",,Dickson,Active,"115 Academy Street
 Dickson, TN 37055",Dickson,TN,37055,,615-446-2085,,,malissajohnson@dcstn.org
Upper Cumberland,Van Buren County,00880,Spencer Elementary,0030,4.70432E+11,Amanda Binkley,Public,"PK, K, 1, 2, 3, 4, 5",,Van Buren,Active,"311 Sparta Street
 Spencer, TN 38585",Spencer,TN,38585,"P.O. Box 218
 Spencer, TN 38585",931-946-2171,,931-946-7113,binkleya@vanburenschools.org
Southeast Tennessee,Rhea County,00720,Spring City Elementary,0040,4.70351E+11,Jerry Cook,Public,"PK, K, 1, 2, 3, 4, 5",,Rhea,Active,"270 East Jackson Avenue
 Spring City, TN 37381",Spring City,TN,37381,"P O  Box 367 Avenue
 Spring City, TN 37381",423-365-6451,,423-365-7075,cookj@rheacounty.org
Southeast Tennessee,Hamilton County,00330,Spring Creek Elementary School,0235,4.70159E+11,Dr. Yolonda Williams,Public,"PK, K, 1, 2, 3, 4, 5",,Hamilton,Active,"1100 Spring  Creek Road
 Chattanooga, TN 37412",Chattanooga,TN,37412,,423-855-6138,,423-855-6150,williams_yolanda@hcde.org
East Tennessee,Knox County,00470,Spring Hill Elementary,0280,4.70222E+11,Tiffany Watkins,Public,"PK, K, 1, 2, 3, 4, 5",,Knox,Active,"4711  Mildred  Drive
 Knoxville, TN 37914",Knoxville,TN,37914,,865-594-1365,,865-594-1370,tiffany.watkins@knoxschools.org
Mid Cumberland,Wilson County,00950,Springdale Elementary School,0015,4.70455E+11,Jennifer Yokom-Brown,Public,"K, 1, 2, 3, 4, 5",,Wilson,Active,"5675 Central Pike
 Mt. Juliet, TN 37122",Mt. Juliet,TN,37122,,615-773-9640,,615-754-7580,yokombrownj@wcschools.com
Mid Cumberland,Rutherford County,00750,Springs Public Schools Tennessee Empower Academy,8004,4.70369E+11,Shane Wickwire,Public Charter,"K, 1, 2, 3, 4, 5, 6",,Rutherford,Active,"198 Culbertson Street
 Smyrna, TN 37167",Smyrna,TN,37167,,615-237-7170,,,shane.wickwire@springspstn.org
Southwest,Memphis-Shelby County Private Schools,09792,St. Agnes Academy-St. Dominic School,9175,,Thomas Hood,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,Shelby,Active,"4830 Walnut Grove Road
 Memphis, TN 38117",Memphis,TN,38117,"4830 Walnut Grove Road
 Memphis, TN 38117",901-767-1356,,,thood@saa-sds.org
Southwest,Bartlett Private Schools,09794,St. Ann  Catholic School,9082,,Didier Aur,Private,"PS, P3, P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Shelby,Active,"6529 Stage Road
 Bartlett, TN 38134",Bartlett,TN,38134,,901-386-3328,,901-386-1030,Didier.Aur@sascolts.org
Mid Cumberland,Davidson County Private Schools,09190,St. Ann Catholic School,9305,,Mrs. Anna Rumfola,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Davidson,Active,"5105 Charlotte Avenue
 Nashville, TN 37209",Nashville,TN,37209,,615-269-0568,,,arumfola@stannnash.org
Mid Cumberland,Davidson County Private Schools,09190,St. Bernard Academy,9260,,Leigh Toomey,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Davidson,Active,"2304 Bernard Avenue
 Nashville, TN 37212",Nashville,TN,37212,,615-385-0440,,615-783-0241,ltoomey@stbernard.org
Mid Cumberland,Davidson County Private Schools,09190,St. Clement Coptic Orthodox Christian Academy,9078,,Bishoy Saad,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category IV - Church Related Schools, Category II - Approved by private school accrediting agency",Davidson,Active,"476 McMurray Drive
 Nashville, TN 37211",Nashville,TN,37211,,615-333-9281,,,bsaad@stclementacademy.com
First Tennessee,Kingsport Private Schools,09822,St. Dominic Catholic School,9015,,Bonnie Saleh,Private,"PK, K, 1, 2, 3, 4, 5",Category III - Approved by regional private school accrediting agency,Sullivan,Active,"1474 East Center Street
 Kingsport, TN 37664",Kingsport,TN,37664,"1474 E. Center Street
 Kingsport, TN 37664",423-245-8491,,423-245-2907,principal@saintdomschool.com
Mid Cumberland,Davidson County Private Schools,09190,St. Edward Elementary School,9205,,Susan Blakenship,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Davidson,Active,"190 Thompson Lane
 Nashville, TN 37211",Nashville,TN,37211,,615-833-5770,,615-833-9739,Sblakenship@stedward.org
Southwest,Memphis-Shelby County Private Schools,09792,St. Francis of Assisi Catholic School,9790,,Alicia Brown,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Shelby,Active,"2100 North Germantown Parkway
 Cordova, TN 38016",Cordova,TN,38016,,901-388-7321,,901-388-8201,alicia.brown@sfawolves.org
Southwest,Germantown Private Schools,09796,St. George's Independent School - Germantown,9059,,Timothy Gibson,Private,"PK, K, 1, 2, 3, 4, 5",Category III - Approved by regional private school accrediting agency,Shelby,Active,"8250 Poplar Avenue
 Germantown, TN 38138",Germantown,TN,38138,"P O Box 267 Avenue
 Arlington, TN 38002",901-457-2000,,901-457-2111,rsmith@sgis.org
Southwest,Memphis-Shelby County Private Schools,09792,St. George's Independent School - Memphis,9781,,Timothy Gibson,Private,"PK, K, 1, 2, 3, 4, 5",Category III - Approved by regional private school accrediting agency,Shelby,Active,"3746 Kimball Avenue
 Memphis, TN 38111",Memphis,TN,38111,,901-457-2000,,901-457-2111,rsmith@sgis.org
Mid Cumberland,Davidson County Private Schools,09190,St. Henry School,9210,,Sister John Mary Fleming,Private,"P3, P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Davidson,Active,"6401 Harding Road
 Nashville, TN 37205",Nashville,TN,37205,"6401 Harding Road
 Nashville, TN 37205",615-352-1328,,615-356-9293,sjfleming@sthenry.org
Mid Cumberland,Sumner County Private School,09830,St. John Vianney Catholic School,9081,,Brady Forrest,Private,"P3, P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Sumner,Active,"501 North Water Avenue
 Gallatin, TN 37066",Gallatin,TN,37066,,615-230-7048,,,brady.forrest@stjvcs.org
Southeast Tennessee,Hamilton County Private Schools,09330,St. Jude School,9140,,Dr. Joshua Overton,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Hamilton,Active,"930 Ashland Terrace
 Chattanooga, TN 37415",Chattanooga,TN,37415,"930 Ashland Terrace
 Chattanooga, TN 37415",423-877-6022,,,OVERTONJ@MYSJS.COM
Southwest,Memphis-Shelby County Private Schools,09792,St. Louis Catholic School formally St. Louis School,9186,,Teddi Niedzwiedz,Private,"P3, P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Shelby,Active,"5192 Shady Grove Road
 Memphis, TN 38117",Memphis,TN,38117,,901-255-1900,,,teddi@stlouismemphis.org
First Tennessee,Johnson City Private Schools,09901,St. Mary School - Johnson City,9025,,Becky Frye,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Washington,Active,"2211 East Lakeview Drive
 Johnson City, TN 37601",Johnson City,TN,37601,,423-282-3397,,,becky.frye@stmarysjc.org
East Tennessee,Oak Ridge Private Schools,09012,St. Mary School - Oak Ridge,9010,,Mary John Slonkosky,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Anderson,Active,"323 Vermont Avenue
 Oak Ridge, TN 37830",Oak Ridge,TN,37830,,865-483-9700,,,smsprincipal@stmarysoakridge.org
Southwest,Memphis-Shelby County Private Schools,09792,St. Marys Episcopal School,9195,,Albert Throckmorton,Private,"PS, PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Shelby,Active,"60 Perkins Extended
 Memphis, TN 38117-3199",Memphis,TN,38117-3199,"60 Perkins Extended
 Memphis, TN 38117-3199",901-537-1472,,,athrockmorton@stmarysschool.org
Mid Cumberland,Williamson County Private Schools,09940,St. Michael Academy,9943,,Shana Druffner,Private,"PK, K, 1, 2, 3, 4, 5",Category III - Approved by regional private school accrediting agency,Williamson,Active,"7674 Nolensville Road
 Nolensville, TN 37135",Nolensville,TN,37135,,615-941-1069,,,sdruffner@stmichaeltn.org
Southwest,Memphis-Shelby County Private Schools,09792,St. Paul Catholic School,9198,,"Sister Mary Lawrence Wright, OP",Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Shelby,Active,"1425 East Shelby Drive
 Memphis, TN 38116",Memphis,TN,38116,,901-346-0862,,,principal@stpaulsmemphis.com
Mid Cumberland,Davidson County Private Schools,09190,St. Paul Christian Academy,9215,,Will Norton,Private,"P3, P4, PK, K, 1, 2, 3, 4, 5, 6",,Davidson,Active,"5033 Hillsboro Pike
 Nashville, TN 37215",Nashville,TN,37215,,615-269-4751,,,wnorton@stpaulchristian.org
First Tennessee,Kingsport Private Schools,09822,St. Paul's Day School  Kindergarten,9020,,Melanie Beach,Private,"PS, PK, K",Category V - Acknowledged by TDOE for operation,Sullivan,Active,"160 E. Sevier Avenue
 Kingsport, TN 37660",Kingsport,TN,37660,,423-246-9552,,,stpaulsdayschool423@gmail.com
Southeast Tennessee,Hamilton County Private Schools,09330,St. Peter's Episcopal School,9147,,Meredith Ruffner,Private,"PK, K, 1, 2, 3, 4, 5",Category III - Approved by regional private school accrediting agency,Hamilton,Active,"848 Ashland Terrace
 Chattanooga, TN 37415",Chattanooga,TN,37415,,423-870-1794,,423-877-2604,mruffner@stpeters.org
Mid Cumberland,Davidson County Private Schools,09190,St. Pius X Classical Academy,9220,,Samantha Kaufman,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Davidson,Active,"2750 Tucker Road
 Nashville, TN 37218",Nashville,TN,37218,,615-255-2049,,,skaufman@stpiusnashville.org
Southeast Tennessee,Hamilton County Private Schools,09330,Standifer Gap Seventh-day Adventist School,9150,,Kent Kast,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category II - Approved by private school accrediting agency,Hamilton,Active,"8255 Standifer Gap Road
 Chattanooga, TN 37421",Chattanooga,TN,37421,"8255 Standifer Gap Road
 Chattanooga, TN 37421",423-892-6013,,,standaifergapsda@gmail.com
East Tennessee,Knox County Private Schools,09470,Stanford Eisenberg Jewish Day School,9350,,Miriam Esther Wilhelm,Private,"K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Knox,Active,"8042 Gleason Drive
 Knoxville, TN 37919",Knoxville,TN,37919,,865-560-9922,,865-560-9923,me@kjds.org
Mid Cumberland,Davidson County,00190,Stanford Elementary,0615,4.70318E+11,Olivia Travis,Public,"PS, PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"2417  Maplecrest  Drive
 Nashville, TN 37214",Nashville,TN,37214,,615-885-8822,,,olivia.travis@mnps.org
Southwest,Memphis-Shelby County Schools,00792,Star Academy,8230,4.70015E+11,Janice Brown,Public Charter,"K, 1, 2, 3, 4, 5, 6, 7, 8",,Shelby,Active,"3240 James Road
 Memphis, TN 38108",Memphis,TN,38108,,901-387-5050,,,jbrown@staracademycharter.org
Mid Cumberland,Sumner County,00830,Station Camp Elementary,0101,4.70402E+11,Lauren Wilson,Public,"PS, K, 1, 2, 3, 4, 5",,Sumner,Active,"1020 Bison Trail
 Gallatin, TN 37066",Gallatin,TN,37066,,615-230-0387,,615-230-8518,lauren.wilson1@sumnerschools.org
East Tennessee,Loudon County,00530,Steekee Elementary,0055,4.70252E+11,Donna Stapleton,Public,"PS, PK, K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Loudon,Active,"4500 Steekee School Road
 Loudon, TN 37774",Loudon,TN,37774,,865-458-3322,,865-458-9921,Stapletond@loudoncounty.org
East Tennessee,Knox County,00470,Sterchi Elementary,0285,4.70222E+11,Jessica Doran,Public,"K, 1, 2, 3, 4, 5",,Knox,Active,"900  Oaklett  Drive
 Knoxville, TN 37912",Knoxville,TN,37912,,865-689-1470,,865-689-1471,jessica.doran@knoxschools.org
Mid Cumberland,Rutherford County,00750,Stewarts Creek Elementary School,0210,4.70369E+11,Tina Turner,Public,"K, 1, 2, 3, 4, 5",,Rutherford,Active,"200 Red Hawk Parkway
 Smyrna, TN 37167",Smyrna,TN,37167,,615-904-6750,,615-904-6751,turnert@rcschools.net
Mid Cumberland,Rutherford County,00750,Stewartsboro Elementary,0200,4.70369E+11,Lisa Snider,Public,"PK, K, 1, 2, 3, 4, 5",,Rutherford,Active,"10479 Old Nashville Highway
 Smyrna, TN 37167",Smyrna,TN,37167,,615-904-6705,,615-904-6706,sniderl@rcschools.net
Northwest Tennessee,Humboldt City Schools,00271,Stigall Primary School,0029,4.70195E+11,Tiffany Purnell,Public,"P3, P4, K, 1",,Gibson,Active,"301 Westside Drive
 Humboldt, TN 38343",Humboldt,TN,38343,,731-784-2825,,731-784-9410,tiffany.purnell@tneducation.net
Upper Cumberland,Cumberland County,00180,Stone Elementary,0074,4.7009E+11,Stephanie Barnes,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Cumberland,Active,"1219 Cook Road
 Crossville, TN 38555",Crossville,TN,38555,"1219 Cook Road
 Crossville, TN 38571",931-456-5636,,931-456-5369,barness5@ccschools.k12tn.net
Mid Cumberland,Wilson County,00950,Stoner Creek Elementary,0052,4.70455E+11,Amanda Smith,Public,"P3, P4, K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Wilson,Active,"1035 North Mt. Juliet Road
 Mt Juliet, TN 37122",Mt Juliet,TN,37122,,615-754-6300,,615-754-5784,SMITHAMA100@wcschools.com
Mid Cumberland,Davidson County,00190,Stratton Elementary,0625,4.70318E+11,Dr. Joi Mitchell,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"310 Old Hickory Blvd. West
 Madison, TN 37115",Madison,TN,37115,,615-860-1486,,,joi.mitchell@mnps.org
Mid Cumberland,Dickson County,00220,Stuart Burns Elementary,0005,4.70102E+11,Jessica Smith,Public,"PK, K, 1, 2, 3, 4, 5",,Dickson,Active,"3201  Highway  96
 Burns, TN 37029",Burns,TN,37029,,615-446-2791,,615-441-4140,jessicasmith@dcstn.org
South Central,Lawrence County,00500,Summertown Elementary,0090,4.70234E+11,Ricky Mabry Jr.,Public,"PK, K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Lawrence,Active,"319 Corbin Street
 Summertown, TN 38483",Summertown,TN,38483,,931-964-3614,,,ses_principal@lcss.us
Mid Cumberland,Sumner County Private School,09830,Sumner Academy,9025,,Chan Gammill/ Hannah Martin,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Sumner,Active,"464 Nichols Lane
 Gallatin, TN 37066",Gallatin,TN,37066,"464 Nichols Lane
 Gallatin, TN 37066",615-452-1914,,615-452-1923,cgammill@sumneracademy.org
East Tennessee,Morgan County,00650,Sunbright School,0070,4.70309E+11,Julia Smith,Public,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,Morgan,Active,"205  Burrville  Road
 Sunbright, TN 37872",Sunbright,TN,37872,,423-628-2244,,423-628-2120,smithj@mcsed.net
East Tennessee,Knox County,00470,Sunnyview Primary,0210,4.70222E+11,Amanda Hurd,Public,"PK, K, 1, 2",,Knox,Active,"412  Bagwell  Road
 Knoxville, TN 37924",Knoxville,TN,37924,,865-594-1173,,865-594-1173,amanda.hurd@knoxschools.org
Mid Cumberland,Williamson County,00940,Sunset Elementary School,0077,4.70453E+11,Cristina Aaron,Public,"PK, K, 1, 2, 3, 4, 5",,Williamson,Active,"100 Sunset Trail
 Brentwood, TN 37027",Brentwood,TN,37027,,615-472-5020,,615-472-5030,cristina.aaron@wcs.edu
First Tennessee,Hawkins County,00370,Surgoinsville Elementary,0095,4.70174E+11,Mary Ann Davis,Public,"K, 1, 2, 3, 4",,Hawkins,Active,"1010 W Main Street
 Surgoinsville, TN 37873",Surgoinsville,TN,37873,,423-345-2153,,423-345-2154,maryann.davis@hck12.net
East Tennessee,Sweetwater,00621,Sweetwater Primary School,0030,4.70405E+11,Katrina Gravitte,Public,"PK, K, 1, 2",,Monroe,Active,"500 Highway 322 East
 Sweetwater, TN 37874",Sweetwater,TN,37874,,423-351-7004,,423-351-7089,katrina.gravitte@scstn.net
Upper Cumberland,Putnam County,00710,Sycamore Elementary,0070,4.70348E+11,Deborah Robbins,Public,"PK, K, 1, 2, 3, 4",,Putnam,Active,"452  Ellis  Avenue
 Cookeville, TN 38501",Cookeville,TN,38501,,931-526-9322,,931-372-0387,robbinsd7@pcsstn.com
Southwest,Collierville,00795,Sycamore Elementary School,0183,4.70015E+11,Julie Manhein,Public,"K, 1, 2, 3, 4, 5",,Shelby,Active,"1155 Sycamore Road
 Collierville, TN 38017",Collierville,TN,38017,,901-854-8202,,901-854-8207,jreagan@colliervilleschools.org
Mid Cumberland,Davidson County,00190,Sylvan Park Elementary,0630,4.70318E+11,Elizabeth Goetz,Public,"K, 1, 2, 3, 4, 5",,Davidson,Active,"4801  Utah  Avenue
 Nashville, TN 37209",Nashville,TN,37209,,615-298-8423,,615-292-5154,Elizabeth.Goetz@mnps.org
First Tennessee,Sullivan County Private Schools,09820,T.O.P. Academy,9034,,Lisa Manning,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Sullivan,Active,"2055 Granby Road
 Kingsport, TN 37665",Kingsport,TN,37665,,423-530-7175,,,niclisanna@icloud.com
First Tennessee,Hamblen County Private Schools,09320,Tabernacle Christian School,9050,,Misty Benton,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category IV - Church Related Schools",Hamblen,Active,"918 Jarnigan Avenue
 Morristown, TN 37813",Morristown,TN,37813,,423-581-0437,,,lcsprincipal@musfiber.com
East Tennessee,Jefferson County,00450,Talbott Elementary,0055,4.7021E+11,Sandi Ramey,Public,"PK, K, 1, 2, 3, 4, 5",,Jefferson,Active,"848 Talbott Kansas Road
 Talbott, TN 37877",Talbott,TN,37877,,865-475-2988,,865-475-8808,sramey@jcboe.net
Southwest,Collierville,00795,Tara Oaks Elementary School,0190,4.70015E+11,Brandi Hynes,Public,"K, 1, 2, 3, 4, 5",,Shelby,Active,"600 Harpers Ferry Road
 Collierville, TN 38017",Collierville,TN,38017,,901-853-3337,,901-854-2349,bhynes@colliervilleschools.org
East Tennessee,Knox County Private Schools,09470,Tate's School of Discovery,9125,,Kaye Simmons,Private,"PS, P3, P4, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category I - Approved by TDOE,Knox,Active,"9215 Bob Gray Road
 Knoxville, TN 37923",Knoxville,TN,37923,,865-690-4255,,,kaye-simmons@tatesschool.com
Southeast Tennessee,Bradley County,00060,Taylor Elementary School,0070,4.70033E+11,Erica Shamblin,Public,"K, 1, 2, 3, 4, 5",Category I - Approved by TDOE,Bradley,Active,"5265 Bates Pike
 Cleveland, TN 37323",Cleveland,TN,37323,"5265 Bates Pike
 Cleveland, TN 37323",423-478-8817,,423-478-8853,eshamblin@bradleyschools.org
East Tennessee,Claiborne County,00130,Tazewell-New Tazewell Elementary,0117,4.70063E+11,Rudolph V. Poore,Public,"K, 1, 2, 3, 4",,Claiborne,Active,"501 Davis Drive
 New Tazewell, TN 37825",New Tazewell,TN,37825,,423-626-9502,,423-626-0484,rudy.poore@claibornecsd.org
East Tennessee,Knox County Private Schools,09470,Temple Baptist Academy Home School Umbrella,9967,,Michael Fox,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Knox,Active,"1701 W Beaver Creek Drive
 Powell, TN 37849",Powell,TN,37849,,865-938-8181,,,headofschool@templebaptistacademy.com
South Central,Manchester Private Schools,09161,Temple Baptist Christian School,9060,,Jeff Stewart,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category IV - Church Related Schools",Coffee,Active,"66 Fairlane Drive
 Manchester, TN 37355",Manchester,TN,37355,"P O Box 900 Drive
 Manchester, TN 37349",931-728-4911,,931-728-0116,secretary@templeministries.com
Mid Cumberland,Tennessee School for Blind,00963,Tenn School For Blind,0005,4.70015E+11,Dr. Andreanita Gordon,State Special School,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,Davidson,Active,"115  Stewarts  Ferry Pike
 Nashville, TN 37214",Nashville,TN,37214,,615-231-7300,,615-871-9312,andreanita.gordon@tsbtigers.org
First Tennessee,Bristol Private Schools,09821,Tennessee Avenue Christian Academy,9025,,Cindy Beal,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Sullivan,Active,"806 Tennessee Avenue
 Bristol, TN 37620",Bristol,TN,37620,"806 Tennessee Avenue
 Bristol, TN 37620",423-989-4346,,,cindy.beal@tabaptist.org
